TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
BSKT,,"Pembina Pipeline Corp. 4.75% 04/30/2043",0.14,2026-08-31
BSKT,,"Aimco Realty Investors Lp 4.64% 02/15/2030",0.13,2026-08-31
BSKT,,"Montreal International Fuel Facilities Corporation 3.71% 04/10/2031",0.13,2026-08-31
BSKT,,"Province Of British Columbia 3.90% 06/18/2036",0.12,2026-08-31
BSKT,,"Toromont Industries Ltd. 3.76% 03/28/2030",0.11,2026-08-31
BSKT,,"Allied Properties Real Estate Investment Trust 4.67% 09/25/2031",0.11,2026-08-31
BSKT,,"Heathrow Funding Ltd. 4.90% 08/06/2039",0.11,2026-08-31
BSKT,,"Stantec Inc. 4.37% 06/10/2032",0.11,2026-08-31
BSKT,,"The Regional Municipality Of York 3.65% 05/13/2033",0.11,2026-08-31
BSKT,,"Intact Financial Corporation 5.28% 09/14/2054",0.11,2026-08-31
BSKT,,"Greater Toronto Airports Authority 5.63% 06/07/2040",0.11,2026-08-31
BSKT,,"Bell Canada, Inc. 3.65% 08/14/2029",0.10,2026-08-31
BSKT,,"Bell Canada, Inc. 4.30% 03/14/2033",0.10,2026-08-31
BSKT,,"Power Corp. of Canada 4.81% 01/31/2047",0.10,2026-08-31
BSKT,,"Lower Mattagami Energy Limited Partnership 2.43% 05/14/2031",0.10,2026-08-31
BSKT,,"Amazon.com Inc. 5.00% 06/12/2056",0.09,2026-08-31
BSKT,,"Waste Connections, Inc. 4.50% 06/14/2029",0.09,2026-08-31
BSKT,,"General Motors Financial of Canada Limited 3.80% 11/07/2030",0.08,2026-08-31
BSKT,,"Province of Saskatchewan 2.75% 12/02/2046",0.08,2026-08-31
BSKT,,"Ventas Canada Finance Ltd. 5.40% 04/21/2028",0.08,2026-08-31
BSKT,,"Trisura Group Ltd. 4.02% 03/17/2031",0.07,2026-08-31
BSKT,,"Bell Canada, Inc. 5.15% 08/24/2034",0.07,2026-08-31
BSKT,,"Canadian Government Bond on 24/08/2027 3.25% 08/24/2027",0.07,2026-08-31
BSKT,,"Vital Infra Prop Trust 5.51% 02/18/2030",0.07,2026-08-31
BSKT,,"Prologis, L.P. 5.25% 01/15/2031",0.07,2026-08-31
BSKT,,"407 International Inc. 4.89% 04/04/2054",0.06,2026-08-31
BSKT,,"Igm Financial Inc. 4.17% 07/13/2048",0.06,2026-08-31
BSKT,,Cash,0.05,2026-08-31
