TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT
TIF,,DEC26 SPX P @ 5650.000000 (notional),13.52
TIF,,MAR27 XSP P @ 550.000000 (notional),8.22
TIF,,JUN27 XSP P @ 620.000000 (notional),7.42
TIF,,MAR27 XSP P @ 570.000000 (notional),5.11
TIF,,MAR27 XSP P @ 560.000000 (notional),5.02
TIF,,SEP26 SX5E P @ 4600.000000 (notional),3.84
TIF,,JUN27 XSP P @ 630.000000 (notional),3.77
TIF,,MAR27 XSP P @ 580.000000 (notional),3.47
TIF,,DEC26 SX5E P @ 4850.000000 (notional),2.36
TIF,,JUN27 SX5E P @ 5200.000000 (notional),1.81
TIF,,MAR27 SX5E P @ 4700.000000 (notional),1.63
TIF,,DEC26 XSP P @ 575.000000 (notional),0.69
TKN,,Bitwise Hyperliquid Etf,
TKN,,Ci Galaxy Bitcoin Etf,
TKN,,Ci Galaxy Ethereum Etf (Usd),
TKN,,Circle Internet Group Inc,
TKN,,Coinbase Global Inc,
TKN,,Figure Technology Solutions Inc,
TKN,,Galaxy Digital Inc,
TKN,,Nvidia Corporation,
TKN,,Purpose Solana Etf,
TKN,,Robinhood Markets Inc,
TKN.U,,Bitwise Hyperliquid Etf,
TKN.U,,Ci Galaxy Bitcoin Etf,
TKN.U,,Ci Galaxy Ethereum Etf (Usd),
TKN.U,,Circle Internet Group Inc,
TKN.U,,Coinbase Global Inc,
TKN.U,,Figure Technology Solutions Inc,
TKN.U,,Galaxy Digital Inc,
TKN.U,,Nvidia Corporation,
TKN.U,,Purpose Solana Etf,
TKN.U,,Robinhood Markets Inc,
