Ticker,Description,fLK+lF,Yahoo_Ticker
QUB,Mackenzie U.S. Aggregate Bond Index ETF,$122.15 M,QUB.TO
BOND,Evolve Enhanced Yield Bond Fund ETF,$121.92 M,BOND.TO
XMM,iShares Edge MSCI Min Vol Emerging Markets Index ETF,$121.92 M,XMM.TO
ZWS,BMO US High Dividend Covered Call Hedged to CAD ETF,$121.54 M,ZWS.TO
HLPR,Global X Laddered Canadian Preferred Share Index Corporate Class ETF,$121.05 M,HLPR.TO
IQD,CI International Quality Dividend Growth Index ETF,$120.71 M,IQD.TO
XDUH,iShares Core MSCI US Quality Dividend Index ETF,$120.67 M,XDUH.TO
TCLV,TD Q Canadian Low Volatility ETF,$120.52 M,TCLV.TO
CVD,iShares Convertible Bond Index ETF,$118.77 M,CVD.TO
ZCON,BMO Conservative ETF,$118.76 M,ZCON.TO
XID,iShares India Index ETF,$118.63 M,XID.TO
QEBL,Mackenzie Emerging Markets Local Currency Bond Index ETF,$118.61 M,QEBL.TO
BAAA,Brompton Wellington Square AAA CLO ETF,$118.10 M,BAAA.TO
TGED.U,TD Active Global Enhanced Dividend ETF,$85.35 M,TGED-U.TO
CCRE,CIBC Core Fixed Income Pool ETF,$117.76 M,CCRE.TO
CLU,iShares US Fundamental Index ETF,$117.71 M,CLU.TO
MINN,Middlefield Innovation Dividend ETF,$117.29 M,MINN.TO
ZLU.U,BMO Low Volatility US Equity ETF,$84.68 M,ZLU-U.TO
FHI,CI Health Care Giants Covered Call ETF,$116.96 M,FHI.TO
ZAPR,BMO US Equity Buffer Hedged to CAD ETF - April,$116.70 M,ZAPR.NE
HIND,Harvest Industrial Leaders Income ETF,$116.60 M,HIND.TO
CWO,iShares Emerging Markets Fundamental Index ETF,$116.54 M,CWO.TO
JAVA,JPMorgan US Value Active ETF,$116.36 M,JAVA.TO
NINT,NBI Active International Equity ETF,$115.17 M,NINT.TO
DXO,Dynamic Active Crossover Bond ETF,$114.70 M,DXO.TO
QEF,AGF Systematic Global ESG Factors ETF,$114.29 M,QEF.NE
EBNK,Evolve European Banks Enhanced Yield ETF,$114.10 M,EBNK.TO
FLSD,Franklin Canadian Short Term Bond Fund,$114.07 M,FLSD.TO
HTAE,Harvest Tech Leaders Enhanced Income ETF,$114.05 M,HTAE.TO
DXAU,Dynamic Active Global Gold ETF,$113.67 M,DXAU.TO
EMV.B,CI Emerging Markets Dividend Index ETF,$113.51 M,EMV-B.TO
RGQS,RBC Target 2030 Canadian Government Bond ETF,$112.83 M,RGQS.TO
DXID,Dynamic Active Innovation and Disruption ETF,$112.79 M,DXID.TO
CANY,Evolve Canadian Equity UltraYield ETF,$112.72 M,CANY.TO
TBCH,TD Target 2028 Investment Grade Bond ETF,$112.42 M,TBCH.TO
FCGC,Fidelity Greater Canada Fund,$112.19 M,FCGC.NE
HUBL,Harvest US Bank Leaders Income ETF,$112.02 M,HUBL.TO
ZCH,BMO MSCI China Selection Equity Index ETF,$111.90 M,ZCH.TO
BFIN,Brompton North American Financials Dividend ETF,$111.71 M,BFIN.TO
ZJUL,BMO US Equity Buffer Hedged to CAD ETF – July,$111.50 M,ZJUL.NE
XETM,iShares S&P/TSX Energy Transition Materials Index ETF,$111.13 M,XETM.TO
RGQQ,RBC Target 2028 Canadian Government Bond ETF,$111.04 M,RGQQ.TO
ZTS,BMO Short-Term US Treasury Bond Index ETF,$110.60 M,ZTS.NE
HHIH,Harvest High Income Equity Shares ETF,$110.55 M,HHIH.TO
HHLE,Harvest Healthcare Leaders Enhanced Income ETF,$110.33 M,HHLE.TO
ZBAL.T,BMO Balanced ETF,$109.39 M,ZBAL-T.TO
EACC,Global X MSCI EAFE Covered Call ETF,$109.13 M,EACC.NE
ZPW,BMO US Put Write ETF,$108.71 M,ZPW.TO
RDE,Purpose Core Equity Income Fund,$108.54 M,RDE.NE
ESG.F,CI S&P 500 ESG Index ETF,$107.82 M,ESG-F.TO
ZUS.V,BMO Ultra Short-Term US Bond ETF,$77.70 M,ZUS-V.TO
CMDO,CI Alternative Diversified Opportunities Fund,$107.36 M,CMDO.TO
DXGE,Dynamic Active Global Equity Income ETF,$107.02 M,DXGE.TO
CNYE,Harvest Coinbase Enhanced High Income Shares ETF,$106.90 M,CNYE.TO
MGB,Mackenzie Core Plus Global Fixed Income ETF,$106.20 M,MGB.TO
RATE,Arrow EC Income Advantage Alternative Fund ETF,$106.12 M,RATE.TO
IUMF,CI Invesco Russell 1000 Multifactor Index ETF,$105.54 M,IUMF.TO
CPCC,Global X Copper Producer Equity Covered Call ETF,$105.88 M,CPCC.TO
DRMC,Desjardins RI Canada - Net-Zero Emissions Pathway ETF,$105.44 M,DRMC.TO
STRT,Manulife Strategic Income Fund,$105.39 M,STRT.NE
CRWY,Harvest CrowdStrike Enhanced High Income Shares ETF,$105.30 M,CRWY.TO
ZLH,BMO Low Volatility US Equity ETF,$104.87 M,ZLH.TO
BESG,Invesco ESG Canadian Core Plus Bond ETF,$104.22 M,BESG.TO
YAMZ,Amazon (AMZN) Yield Shares Purpose ETF,$104.23 M,YAMZ.NE
XRPQ,3iQ XRP ETF,$104.23 M,XRPQ.TO
ZESG,BMO Balanced ESG ETF,$104.16 M,ZESG.TO
PDIV,Purpose Enhanced Dividend Fund ETF,$104.09 M,PDIV.TO
HCA,Hamilton Canadian Bank Mean Reversion Index ETF,$103.88 M,HCA.TO
EASY,Evolve All-in-One UltraYield ETF,$103.61 M,EASY.TO
HODY,Harvest Robinhood Enhanced High Income Shares ETF,$103.50 M,HODY.TO
MORE,Mackenzie Core Resources ETF,$103.35 M,MORE.TO
ZTL,BMO Long-Term US Treasury Bond Index ETF,$102.80 M,ZTL.NE
RNAV,RBC North American Value Fund,$102.74 M,RNAV.NE
CTBB,CIBC 2026 Investment Grade Bond Fund,$102.40 M,CTBB.NE
SOFY,Harvest SoFi Enhanced High Income Shares ETF,$102.34 M,SOFY.TO
TBCF,TD Target 2026 Investment Grade Bond ETF,$102.08 M,TBCF.TO
HUTE,Harvest Utilities Leaders Enhanced Income ETF,$101.93 M,HUTE.TO
TCOM,TD Alternative Commodities Pool ETF,$101.66 M,TCOM.TO
TLV,CI S&P/TSX Composite Low Volatility Index ETF,$100.73 M,TLV.TO
XSMC,iShares S&P U.S. Small-Cap Index ETF,$100.96 M,XSMC.TO
PAYS,Global X Short-Term Government Bond Premium Yield ETF,$100.51 M,PAYS.TO
CLU.C,iShares US Fundamental Index ETF,$100.22 M,CLU-C.NE
ETHI,Global X Global Sustainability Leaders Index ETF,$98.83 M,ETHI.TO
ZLE,BMO Low Volatility Emerging Markets Equity ETF,$98.80 M,ZLE.TO
ZRR,BMO Real Return Bond Index ETF,$98.77 M,ZRR.TO
UDIV,Manulife Smart US Dividend ETF,$98.35 M,UDIV.TO
TGRE,TD Active Global Real Estate Equity ETF,$98.24 M,TGRE.TO
RDDY,Harvest Reddit Enhanced High Income Shares ETF,$98.01 M,RDDY.TO
PR,Lysander-Slater Preferred Share Activ ETF,$97.72 M,PR.TO
SRIB,Scotia Responsible Investing Canadian Bond Index ETF,$97.20 M,SRIB.NE
BTCY,Purpose Bitcoin Yield ETF,$96.45 M,BTCY.TO
DRMU,Desjardins RI USA - Net-Zero Emissions Pathway ETF,$95.35 M,DRMU.TO
TDNA,TD North American Dividend Fund - ETF Series,$94.82 M,TDNA.TO
BASE,Evolve Global Materials & Mining Enhanced Yield Index ETF,$94.77 M,BASE.TO
CGRO,CI Growth Asset Allocation ETF,$94.02 M,CGRO.TO
RGQR,RBC Target 2029 Canadian Government Bond ETF,$93.96 M,RGQR.TO
ONEB,CI North American Core Plus Bond ETF,$93.85 M,ONEB.TO
XVLU,iShares MSCI USA Value Factor Index ETF,$93.74 M,XVLU.TO
PAYG,Brompton Global Equity HighPay ETF,$93.69 M,PAYG.TO
PFCB,PICTON Core Bond Fund ETF,$93.29 M,PFCB.TO
FLI,CI First Asset U.S. & Canada LifeCo Income ETF,$93.03 M,FLI.TO
CTBC,CIBC 2027 Investment Grade Bond Fund,$92.58 M,CTBC.NE
GIDY,Guardian i3 Global Dividend Premium Yield Fund,$92.09 M,GIDY.TO
ZBEC,BMO Canadian Equity Plus ETF,$92.07 M,ZBEC.NE
DGLM,Desjardins Global Macro ETF,$92.02 M,DGLM.TO
TXF.B,CI Tech Giants Covered Call ETF,$91.88 M,TXF-B.TO
CGLO,CIBC Global Growth ETF,$91.81 M,CGLO.TO
ZQB,BMO High Quality Corporate Bond Index ETF,$91.53 M,ZQB.TO
QXM,CI Morningstar National Bank Québec Index ETF,$91.13 M,QXM.TO
ZTM,BMO Mid-Term US Treasury Bond Index ETF,$90.82 M,ZTM.NE
ETHY,Purpose Ether Yield ETF,$89.70 M,ETHY.TO
NUSA,NBI Active U.S. Equity ETF,$89.63 M,NUSA.TO
DXU,Dynamic Active U.S. Dividend ETF,$89.05 M,DXU.TO
FEPY,Fidelity Equity Premium Yield ETF,$88.86 M,FEPY.NE
ETHQ,3iQ Ether Staking ETF,$64.22 M,ETHQ.TO
GCNS,iShares ESG Conservative Balanced ETF Portfolio,$88.73 M,GCNS.TO
QDXB,Mackenzie Developed ex-North America Aggregate Bond Index ETF,$88.48 M,QDXB.TO
BGIE,Brompton Global Infrastructure ETF,$88.38 M,BGIE.TO
IIMF,CI Invesco International Developed Dynamic-Multifactor Index ETF,$87.74 M,IIMF.TO
ESGB,BMO ESG Corporate Bond Index ETF,$87.96 M,ESGB.TO
GDIV,Manulife Smart Global Dividend ETF Portfolio,$87.45 M,GDIV.NE
RGQO,RBC Target 2026 Canadian Government Bond ETF,$87.36 M,RGQO.TO
CLML,CI Global Climate Leaders Fund,$87.17 M,CLML.TO
DXMO,Dynamic Active Mining Opportunties ETF,$86.79 M,DXMO.TO
SLCA,Sun Life Core Advantage Credit Private Pool ETF Series,$86.32 M,SLCA.TO
DXCB,Dynamic Active Corporate Bond ETF,$85.62 M,DXCB.TO
SRII,Scotia Responsible Investing International Equity Index ETF,$85.37 M,SRII.NE
XTLT,iShares 20+ Year U.S. Treasury Bond Index ETF,$85.31 M,XTLT.TO
ZLSC,BMO Long Short Canadian Equity ETF,$85.14 M,ZLSC.TO
HMP,Global X Active Canadian Municipal Bond ETF,$84.98 M,HMP.TO
CNDU,BetaPro S&P/TSX 60 2x Daily Bull ETF,$84.27 M,CNDU.TO
MGRW,Mackenzie Growth Allocation ETF,$83.88 M,MGRW.TO
FTHI,Fidelity Tactical High Income Fund,$83.87 M,FTHI.TO
CRCY,Harvest Circle Enhanced High Income Shares ETF,$83.75 M,CRCY.TO
CFOU,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,$83.71 M,CFOU.TO
FETH,Fidelity Advantage Ether ETF,$83.65 M,FETH.TO
ZMT,BMO Equal Weight Global Base Metals Hedged to CAD Index ETF,$83.52 M,ZMT.TO
CTBF,CIBC 2030 Investment Grade Bond Fund,$83.52 M,CTBF.NE
ZFC,BMO SIA Focused Canadian Equity Fund ETF,$83.16 M,ZFC.TO
XCBG,iShares ESG Advanced Canadian Corporate Bond Index ETF,$82.80 M,XCBG.TO
FFIX,Fidelity All-In-One Fixed Income ETF,$82.65 M,FFIX.NE
SBT.B,Purpose Silver Bullion Trust ETF,$82.44 M,SBT-B.TO
DRMD,Desjardins RI Developed ex-USA ex-Canada - Net-Zero Emissions Pathway ETF,$81.82 M,DRMD.TO
ULV.F,CI Invesco S&P 500 Low Volatility Index ETF,$81.46 M,ULV-F.TO
RCLO,RBC AAA CLO (CAD Hedged) ETF,$80.73 M,RCLO.NE
RCDC,RBC Canadian Dividend Covered Call ETF,$79.39 M,RCDC.TO
HBTE,Harvest Bitcoin Leaders Enhanced Income ETF,$78.84 M,HBTE.NE
BGU,Bristol Gate Concentrated US Equity ETF,$78.62 M,BGU.TO
PACF,Purpose Active Conservative Fund,$78.49 M,PACF.TO
ICPB,IA Clarington Agile Core Plus Bond Fund,$78.13 M,ICPB.TO
DRME,Desjardins RI Emerging Markets - Net-Zero Emissions Pathway ETF,$77.06 M,DRME.TO
JCOR,JPMorgan US Core Active ETF,$76.99 M,JCOR.TO
RUQQ,RBC Target 2028 U.S. Corporate Bond ETF,$76.93 M,RUQQ.TO
MUMC.B,Manulife Multifactor U.S. Mid Cap Index ETF,$76.66 M,MUMC-B.TO
ZCLN,BMO Clean Energy Index ETF,$76.63 M,ZCLN.TO
CTBE,CIBC 2029 Investment Grade Bond Fund,$76.58 M,CTBE.NE
NSAV,Ninepoint Cash Management Fund,$75.93 M,NSAV.TO
TUED.U,TD Active U.S. Enhanced Dividend ETF,$54.87 M,TUED-U.TO
ZNQ.U,BMO NASDAQ 100 Equity Index ETF,$54.40 M,ZNQ-U.TO
ETHX.U,CI Galaxy Ethereum ETF,$53.92 M,ETHX-U.TO
GIGD,Guardian i³ Global Dividend Growth Fund ETF,$73.87 M,GIGD.TO
NSGE,NBI Sustainable Global Equity ETF,$73.78 M,NSGE.TO
XSHG,iShares ESG Advanced 1-5 Year Canadian Corporate Bond Index ETF,$73.69 M,XSHG.TO
DXBC,Dynamic Active Canadian Bond ETF,$73.54 M,DXBC.TO
RUD.U,RBC Quant U.S. Dividend Leaders ETF,$52.67 M,RUD-U.TO
EQL.U,CI Invesco S&P 500 Equal Weight Index ETF,$52.47 M,EQL-U.TO
INTY,Evolve International Equity UltraYield ETF,$72.50 M,INTY.TO
RIIN,Russell Investments Global Infrastructure Pool ETF,$72.34 M,RIIN.TO
RUDB.U,RBC U.S. Discount Bond ETF,$51.76 M,RUDB-U.TO
FCQH,Fidelity U.S. High Quality Currency Neutral Index ETF,$71.41 M,FCQH.TO
FLCI,Franklin Canadian Corporate Bond Fund,$71.35 M,FLCI.TO
ZAAA,BMO AAA CLO ETF,$70.87 M,ZAAA.NE
EQE,CI S&P Europe 350 Equal Weight Index ETF,$69.52 M,EQE.NE
EQCL,Global X Enhanced All-Equity Asset Allocation Covered Call ETF,$69.22 M,EQCL.TO
ZJPN.F,BMO Japan Index ETF,$68.73 M,ZJPN-F.TO
HPF,Harvest Energy Leaders Income ETF,$68.38 M,HPF.TO
CAPW,Capital Group World Bond Select ETF,$68.36 M,CAPW.TO
HGGG,Harvest Global Gold Giants Index ETF,$68.19 M,HGGG.TO
CXF,CI First Asset Canadian Convertible Bond ETF,$68.07 M,CXF.TO
TSTX.U,Global X 1-3 Year U.S. Treasury Bond Index ETF,$49.07 M,TSTX-U.TO
HAF,Global X Active Global Fixed Income ETF,$67.84 M,HAF.TO
XMS,iShares Edge MSCI Min Vol USA Index ETF,$67.76 M,XMS.TO
XRPP,Purpose XRP ETF,$67.65 M,XRPP.TO
MCAD,Evolve Premium Cash Management Fund ETF,$67.57 M,MCAD.TO
PXU.F,CI Invesco FTSE RAFI US Fundamental Index ETF,$67.15 M,PXU-F.TO
MPAY,Global X Mid-Term U.S. Treasury Premium Yield ETF,$48.36 M,MPAY.TO
RUQP,RBC Target 2027 U.S. Corporate Bond ETF,$66.85 M,RUQP.TO
FLEM,Franklin Emerging Markets Equity Index ETF,$66.37 M,FLEM.TO
HIG,Brompton Global Healthcare Income & Growth ETF,$66.14 M,HIG.TO
RBOT,Global X Robotics & AI Index ETF,$66.00 M,RBOT.TO
PGL,CI Ultra Liquid Long Term Government Bond Index ETF,$65.65 M,PGL.TO
XSC,iShares Conservative Short Term Strategic Fixed Income ETF,$65.70 M,XSC.TO
XUSF,iShares S&P U.S. Financials Index ETF,$65.69 M,XUSF.TO
RUQS,RBC Target 2030 U.S. Corporate Bond ETF,$65.62 M,RUQS.TO
BOND.B,Evolve Enhanced Yield Bond Fund ETF,$65.55 M,BOND-B.TO
HTA.U,Harvest Tech Leaders Income ETF,$47.18 M,HTA-U.TO
SBT,Purpose Silver Bullion Trust ETF,$65.23 M,SBT.TO
CMDO.U,CI Alternative Diversified Opportunities Fund,$46.98 M,CMDO-U.TO
ZDY.U,BMO US Dividend ETF,$46.79 M,ZDY-U.TO
QLB,Mackenzie Canadian Government Long Bond Index ETF,$64.42 M,QLB.TO
DXDU.U,Dynamic Active U.S. Discount Bond ETF,$46.25 M,DXDU-U.TO
NCPB,NBI Canadian Core Plus Bond Fund - ETF Series,$63.91 M,NCPB.TO
HFG,Hamilton Global Financials ETF,$63.85 M,HFG.TO
ETC,Evolve Cryptocurrencies ETF,$63.80 M,ETC.TO
MDIV,Middlefield Global Dividend Growers ETF,$63.46 M,MDIV.TO
VUDV,Vanguard U.S. High Dividend Yield Index ETF,$63.32 M,VUDV.TO
MTRX,Global X Artificial Intelligence Infrastructure Index ETF,$62.98 M,MTRX.TO
PFIN,PICTON Income Fund,$62.16 M,PFIN.TO
EMCC,Global X MSCI Emerging Markets Covered Call ETF (CA),$62.16 M,EMCC.NE
QINF,Mackenzie Global Infrastructure Index ETF,$62.00 M,QINF.TO
REMD,RBC Emerging Markets Dividend Fund,$61.91 M,REMD.NE
PLDI,PIMCO Low Duration Monthly Income Fund (Canada) ETF,$61.91 M,PLDI.TO
DXW,Dynamic Active International Dividend ETF,$61.66 M,DXW.TO
ETHR,Evolve Ether ETF,$61.53 M,ETHR.TO
ZCDB,BMO Corporate Discount Bond ETF,$61.28 M,ZCDB.TO
PINC,Purpose Multi-Asset Income Fund ETF,$60.88 M,PINC.TO
FPR,First Asset Preferred Share ETF,$60.23 M,FPR.TO
XAGG,iShares U.S. Aggregate Bond Index ETF,$59.75 M,XAGG.TO
ZEQL,BMO MSCI USA Equal Weight Index ETF,$59.75 M,ZEQL.TO
MSFH,Harvest Microsoft High Income Shares ETF,$59.74 M,MSFH.TO
XSE,iShares Conservative Strategic Fixed Income ETF,$59.55 M,XSE.TO
ETHO.B,Purpose Core Ether ETF,$59.51 M,ETHO-B.TO
QQCI,Invesco NASDAQ 100 Income Advantage ETF,$59.28 M,QQCI.TO
HBF.U,Harvest US Equity Leaders Income ETF,$42.95 M,HBF-U.TO
HBGD,Global X Big Data & Hardware Index ETF,$59.40 M,HBGD.TO
MULV,Mackenzie US Low Volatility ETF,$59.30 M,MULV.TO
YGOG,Alphabet (GOOGL) Yield Shares Purpose ETF,$59.15 M,YGOG.NE
ZACE,BMO U.S. All Cap Equity Fund ETF,$59.14 M,ZACE.TO
JIDE,JPMorgan International Developed Equity Active ETF,$58.59 M,JIDE.TO
FSL,First Trust Senior Loan ETF (CA),$58.58 M,FSL.TO
HHIS.U,Harvest Diversified High Income Shares ETF,$42.20 M,HHIS-U.TO
ESGG,BMO MSCI World ESG Leaders Index ETF,$58.20 M,ESGG.TO
XSMH,iShares S&P U.S. Small-Cap Index ETF,$58.05 M,XSMH.TO
ONEQ,CI ONE Global Equity ETF,$57.99 M,ONEQ.TO
ZVC,BMO MSCI Canada Value Index ETF,$57.79 M,ZVC.TO
TUSB,TD Select U.S. Short Term Corporate Bond Ladder ETF,$57.42 M,TUSB.TO
ZIN,BMO Equal Weight Industrials Index ETF,$57.28 M,ZIN.TO
BEPR,Brompton Flaherty & Crumrine Enhanced Investment Grade Preferred ETF,$56.78 M,BEPR.TO
BRKY,Berkshire Hathaway (BRK) Yield Shares Purpose ETF,$56.19 M,BRKY.NE
HPYG,Harvest Premium Yield Gold ETF,$56.15 M,HPYG.TO
DXBU,Dynamic Active U.S. Investment Grade Corporate Bond ETF,$56.13 M,DXBU.TO
PXS,CI Invesco RAFI U.S. Index ETF II,$55.36 M,PXS.TO
HPYB,Harvest Premium Yield Canadian Bank ETF,$55.28 M,HPYB.TO
QSB,Mackenzie Canadian Short-Term Bond Index ETF,$55.08 M,QSB.TO
MSTY,Harvest Strategy Inc. High Income Shares ETF,$55.04 M,MSTY.TO
FGLS,Fidelity Global Value Long/Short Fund,$54.84 M,FGLS.NE
CEQT,CI Equity Asset Allocation ETF,$54.55 M,CEQT.TO
FHG,First Trust AlphaDEX U.S. Industrials Sector Index ETF,$54.51 M,FHG.TO
ZWQT,BMO Global Enhanced Income Fund ETF Series,$54.23 M,ZWQT.TO
HUC,Global X Crude Oil ETF,$54.11 M,HUC.TO
JAPN,CI Japan Equity Index ETF,$54.01 M,JAPN.TO
XCD,iShares S&P Global Consumer Discretionary Index ETF,$53.83 M,XCD.TO
PREF,Quadravest Preferred Split Share ETF,$53.72 M,PREF.TO
UYLD.B,Manulife Smart U.S. Enhanced Yield ETF,$53.55 M,UYLD-B.NE
ZXLU.F,BMO SPDR Utilities Select Sector Index ETF,$53.36 M,ZXLU-F.TO
RNCC,Global X Equal Weight Canadian Telecom Covered Call ETF,$53.23 M,RNCC.TO
KILO.U,Purpose Gold Bullion Fund ETF,$38.35 M,KILO-U.TO
HUZ,Global X Silver ETF,$52.94 M,HUZ.TO
CAUV,Avantis CIBC U.S. Small Cap Value ETF,$52.71 M,CAUV.TO
TULV,TD Q U.S. Low Volatility ETF,$52.07 M,TULV.TO
XUSC.U,iShares S&P 500 3% Capped Index ETF,$37.48 M,XUSC-U.TO
TRVI,Harvest Travel & Leisure Income ETF,$51.76 M,TRVI.TO
RUQP.U,RBC Target 2027 U.S. Corporate Bond ETF,$37.40 M,RUQP-U.TO
XML,iShares Edge MSCI Min Vol EAFE Index ETF,$51.69 M,XML.TO
ZCS.L,BMO Short Corporate Bond Index ETF,$51.43 M,ZCS-L.TO
ARB,Accelerate Arbitrage Fund ETF,$51.40 M,ARB.TO
ZUCM,BMO USD Cash Management ETF,$51.21 M,ZUCM.TO
ZPAY.F,BMO Premium Yield ETF,$51.13 M,ZPAY-F.TO
ZGRO.T,BMO Growth ETF,$50.27 M,ZGRO-T.TO
NSSB,NBI Sustainable Canadian Short Term Bond ETF,$49.95 M,NSSB.TO
HUG,Global X Gold ETF,$49.81 M,HUG.TO
CNAO,CI Alternative North American Opportunities Fund,$49.44 M,CNAO.TO
CAGS,CI Canadian Short-Term Aggregate Bond Index ETF,$49.23 M,CAGS.TO
GLDU,BetaPro Gold Bullion 2x Daily Bull ETF,$49.00 M,GLDU.TO
DCS,Desjardins Canadian Short Term Bond Index ETF,$48.91 M,DCS.TO
ZPAY.U,BMO Premium Yield ETF,$35.29 M,ZPAY-U.TO
RSSX,Global X Russell 2000 Index ETF,$35.27 M,RSSX.NE
PAYF,Purpose Enhanced Premium Yield Fund ETF,$48.74 M,PAYF.TO
ZIQ,BMO MSCI EAFE High Quality Index ETF,$48.74 M,ZIQ.TO
CVLU.B,CI U.S. Enhanced Value Index ETF,$48.15 M,CVLU-B.TO
MINT,Manulife Multifactor Developed International Index ETF,$48.05 M,MINT.TO
CTUD.U,CIBC 2026 U.S. Investment Grade Bond Fund,$34.57 M,CTUD-U.NE
DACL,Desjardins Canadian Equity Leaders ETF,$47.62 M,DACL.TO
HCRE,Global X Equal Weight Canadian REITs Index Corporate Class ETF,$47.45 M,HCRE.TO
CGQD.B,CI Global Quality Dividend Growth Index ETF,$47.44 M,CGQD-B.TO
OILY,Evolve Canadian Energy Enhanced Yield Index Fund,$47.33 M,OILY.TO
DRCU,Desjardins RI Active Canadian Bond - Net-Zero Emissions Pathway ETF,$47.14 M,DRCU.TO
JGRO,JPMorgan US Growth Active ETF,$47.12 M,JGRO.TO
CBGR,CI Balanced Growth Asset Allocation ETF,$47.05 M,CBGR.TO
NRGU,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,$47.01 M,NRGU.TO
NOVB.F,First Trust Vest U.S. Equity Buffer ETF - November,$46.92 M,NOVB-F.TO
DAMG,Desjardins Alt Long/Short Global Equity Markets ETF,$46.85 M,DAMG.TO
HAD,Global X Active Canadian Bond ETF,$46.51 M,HAD.TO
SAFE,Global X Equal Weight Canadian Insurance Index ETF,$46.04 M,SAFE.TO
MSBP,Middlefield Short Duration Bond Plus ETF,$45.75 M,MSBP.TO
ZOCT,BMO US Equity Buffer Hedged to CAD ETF,$45.40 M,ZOCT.NE
XFLB,iShares Core Canadian 15+ Year Federal Bond Index ETF,$45.39 M,XFLB.TO
CESG.B,CI MSCI World ESG Impact Index ETF,$45.30 M,CESG-B.NE
AGG,Evolve Canadian Aggregate Bond Enhanced Yield Fund,$45.20 M,AGG.TO
GCBD,Guardian Canadian Bond ETF,$45.19 M,GCBD.TO
FEBB.F,First Trust Vest U.S. Equity Buffer ETF - February,$45.09 M,FEBB-F.TO
CGRE,CI Global REIT Private Pool ETF,$45.08 M,CGRE.TO
HBIX,Harvest Bitcoin Enhanced Income ETF,$44.75 M,HBIX.NE
CTUE.U,CIBC 2027 U.S. Investment Grade Bond Fund,$32.22 M,CTUE-U.NE
RUQQ.U,RBC Target 2028 U.S. Corporate Bond ETF,$32.13 M,RUQQ-U.TO
VVO,Vanguard Global Minimum Volatility ETF,$44.35 M,VVO.TO
TGGR,TD Active Global Equity Growth ETF,$44.34 M,TGGR.TO
RKLC,Rocklinc Principled Equity ETF,$44.16 M,RKLC.TO
HVOI,Harvest Low Volatility Canadian Equity Income ETF,$44.07 M,HVOI.TO
CINT,CIBC International Equity ETF,$43.99 M,CINT.TO
RGPM,RBC Global Precious Metals Fund,$43.84 M,RGPM.NE
ZUP,BMO US Preferred Share Index ETF,$43.80 M,ZUP.TO
CFLX,CIBC Flexible Yield ETF,$43.80 M,CFLX.TO
TLTX.U,Global X 20+ Year U.S. Treasury Bond Index ETF,$31.67 M,TLTX-U.TO
CGHY,CI Global High Yield Credit Private Pool ETF,$43.80 M,CGHY.TO
TBUG.U,TD Target 2027 U.S. Investment Grade Bond ETF,$31.39 M,TBUG-U.TO
EDGF,Brompton European Dividend Growth ETF,$43.37 M,EDGF.TO
AIQ,Global X Artificial Intelligence & Technology Index,$43.35 M,AIQ.TO
CYLD,Manulife Smart Enhanced Yield ETF,$43.32 M,CYLD.NE
CCOE,Harvest Cameco Enhanced High Income Shares ETF,$43.09 M,CCOE.TO
CCHI,Ninepoint Cameco HighShares ETF,$43.05 M,CCHI.TO
SPXD,BetaPro S&P 500 -2x Daily Bear ETF,$42.92 M,SPXD.TO
CBIL.L,Global X 0-3 Month T-Bill ETF,$42.83 M,CBIL-L.TO
XSI,iShares Short Term Strategic Fixed Income ETF,$42.64 M,XSI.TO
DCP,Desjardins Canadian Preferred Share Index ETF,$42.52 M,DCP.TO
BTCO.B,Purpose Core Bitcoin ETF,$42.30 M,BTCO-B.TO
PFCO,PICTON Credit Opportunities Alternative Fund ETF,$42.17 M,PFCO.TO
HMMJ,Global X Marijuana Life Sciences Index ETF,$42.13 M,HMMJ.TO
CCLO,CIBC Income Advantage Fund,$41.92 M,CCLO.NE
MCON,Mackenzie Conservative Allocation ETF,$41.92 M,MCON.TO
PFAE,PICTON Long Short Equity (130/30) Alternative Fund ETF,$41.74 M,PFAE.TO
AEME,Harvest Agnico Eagle Enhanced High Income Shares ETF,$41.74 M,AEME.TO
HDGE,Accelerate Absolute Return Hedge Fund,$41.67 M,HDGE.TO
HPYE,Harvest Premium Yield Enhanced ETF,$41.61 M,HPYE.TO
XEXP,iShares Exponential Technologies Index ETF,$41.52 M,XEXP.TO
HBF.B,Harvest US Equity Leaders Income ETF,$41.32 M,HBF-B.TO
RUQS.U,RBC Target 2030 U.S. Corporate Bond ETF,$29.86 M,RUQS-U.TO
MSFY,Microsoft (MSFT) Yield Shares Purpose ETF,$41.17 M,MSFY.NE
XRP,Evolve XRP ETF,$41.12 M,XRP.TO
RUMG,RBC U.S. Mid-Cap Growth Equity Fund,$41.12 M,RUMG.NE
MEQT,Mackenzie All-Equity Allocation ETF,$41.03 M,MEQT.TO
ZWHC,BMO Covered Call Health Care ETF,$40.92 M,ZWHC.TO
DMQC,Desjardins Quebec Equity ETF,$40.84 M,DMQC.TO
SOXU,MegaLong (3X) US Semiconductors Daily Leveraged Alternative ETF,$40.56 M,SOXU.TO
EBNK.B,Evolve European Banks Enhanced Yield ETF,$40.52 M,EBNK-B.TO
