Ticker,Description,fLK+lF,Yahoo_Ticker
FCIN,Fidelity All-International Equity ETF,$1.12 B,FCIN.NE
CNDX,Global X S&P/TSX 60 Index ETF,$1.11 B,CNDX.TO
SMAX,Hamilton U.S. Equity Yield Maximizer ETF,$1.11 B,SMAX.TO
ZWP,BMO Europe High Dividend Covered Call ETF,$1.11 B,ZWP.TO
ESG,CI S&P 500 ESG Index ETF,$1.10 B,ESG.TO
HSUV.U,Global X USD Cash Maximizer Corporate Class ETF,$774.50 M,HSUV-U.TO
QQCE,CI ESG NASDAQ 100 Index ETF,$1.07 B,QQCE.TO
MUB,Mackenzie Unconstrained Bond ETF,$1.06 B,MUB.TO
BND,Purpose Global Bond Fund ETF,$1.06 B,BND.TO
TQSM,TD Q U.S. Small-Mid-Cap Equity ETF,$1.05 B,TQSM.TO
PDC,CI Canadian Dividend Index ETF,$1.04 B,PDC.TO
VGH,Vanguard U.S. Dividend Appreciation Index ETF,$1.03 B,VGH.TO
ZEQT,BMO All-Equity ETF,$1.03 B,ZEQT.TO
XRE,iShares S&P/TSX Capped REIT Index ETF,$1.03 B,XRE.TO
HCAL,Hamilton Enhanced Canadian Bank ETF,$1.01 B,HCAL.TO
PSU.U,Purpose US Cash Fund,$726.92 M,PSU-U.TO
WSRI,Wealthsimple North America Socially Responsible Index ETF,$1.00 B,WSRI.TO
QMAX,Hamilton Technology Yield Maximizer ETF,$999.04 M,QMAX.TO
CLG,iShares 1-10 Year Laddered Government Bond Index ETF,$988.71 M,CLG.TO
DGRC,CI Canada Quality Dividend Growth Index ETF,$987.09 M,DGRC.TO
XDSR,iShares ESG Advanced MSCI EAFE Index ETF,$986.60 M,XDSR.TO
WSRD,Wealthsimple Developed Markets ex North America Socially Responsible Index ETF,$985.98 M,WSRD.TO
DMEE,Desjardins Emerging Markets Equity Index ETF,$980.18 M,DMEE.TO
ZFS,BMO Short Federal Bond Index ETF,$979.86 M,ZFS.TO
CAGE,Avantis CIBC All-Equity Asset Allocation ETF,$975.48 M,CAGE.TO
VCNS,Vanguard Conservative ETF Portfolio,$962.39 M,VCNS.TO
