ticker,exchange,name,provider
PZW,TSX,"PowerShares FTSE RAFI Global Small-Mid Fundamental ETF - CAD, May 6, 2015",Invesco
PZW.U,TSX,"PowerShares FTSE RAFI Global Small-Mid Fundamental ETF - USD, May 6, 2015",Invesco
QQC.F,TSX,"PowerShares QQQ (CAD Hedged) Index ETF, Jun 16 2011",Invesco
FST,TSX,First Trust Canadian Capital Strength ETF,First Trust
FST.A,TSX,First Trust Canadian Capital Strength ETF,First Trust
FDE,TSX,First Trust AlphaDEX™ Emerging Market Dividend ETF (CAD-Hedged),First Trust
FDE.A,TSX,First Trust AlphaDEX™ Emerging Market Dividend ETF (CAD-Hedged),First Trust
EUR,TSX,First Trust AlphaDEX™ European Dividend Index ETF (CAD-Hedged),First Trust
EUR.A,TSX,First Trust AlphaDEX™ European Dividend Index ETF (CAD-Hedged),First Trust
FUD,TSX,First Trust AlphaDEX™ U.S. Dividend ETF (CAD-Hedged),First Trust
FUD.A,TSX,First Trust AlphaDEX™ U.S. Dividend ETF (CAD-Hedged),First Trust
FHD,TSX,First Trust AlphaDEX™ U.S. Consumer Discretionary Sector Index ETF,First Trust
FHC,TSX,First Trust AlphaDEX™ U.S. Consumer Staples Sector Index ETF,First Trust
FHE,TSX,First Trust AlphaDEX™ U.S. Energy Sector Index ETF,First Trust
FHF,TSX,First Trust AlphaDEX™ U.S. Financial Sector Index ETF,First Trust
FHH,TSX,First Trust AlphaDEX™ U.S. Health Care Sector Index ETF,First Trust
FHG,TSX,First Trust AlphaDEX™ U.S. Industrials Sector Index ETF,First Trust
FHM,TSX,First Trust AlphaDEX™ U.S. Materials Sector Index ETF,First Trust
FHQ,TSX,First Trust AlphaDEX™ U.S. Technology Sector Index ETF,First Trust
FHU,TSX,First Trust AlphaDEX™ U.S. Utilities Sector Index ETF,First Trust
FSL,TSX,First Trust Senior Loan ETF (CAD-Hedged),First Trust
FSL.A,TSX,First Trust Senior Loan ETF (CAD-Hedged),First Trust
FHY,TSX,First Trust Short Duration High Yield Bond ETF (CAD-Hedged),First Trust
FHY.A,TSX,First Trust Short Duration High Yield Bond ETF (CAD-Hedged),First Trust
ETP,TSX,First Trust Global Risk Managed Income Index ETF,First Trust
ETP.A,TSX,First Trust Global Risk Managed Income Index ETF,First Trust
FTB,TSX,First Trust Tactical Bond Index ETF,First Trust
FSR,TSX,First Trust Dorsey Wright U.S. Sector Rotation Index ETF (CAD-Hedged),First Trust
