ticker,exchange,name,provider
XSU,TSX,iShares Russell 2000 Index ETF (CAD-hedged),BlackRock Inc
XIN,TSX,iShares MSCI EAFE Index ETF (CAD-hedged),BlackRock Inc
XEM,TSX,iShares MSCI Emerging Markets Index ETF,BlackRock Inc
XWD,TSX,iShares MSCI World Index ETF,BlackRock Inc
XQQ,TSX,iShares Nasdaq 100 Index ETF,BlackRock Inc
XCHP,TSX,iShares Semiconductor Index ETF,BlackRock Inc
ZCN,TSX,BMO TSX Capped Composite ETF,BMO Asset Management
ZCLN,TSX,BMO Clean Energy Index ETF,BMO Asset Management
ZDJ,TSX,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,BMO Asset Management
ZUE,TSX,BMO US Equity Hedged to CAD Index ETF,BMO Asset Management
ZDM,TSX,BMO International Equity Hedged to CAD Index ETF,BMO Asset Management
ZEM,TSX,BMO Emerging Markets Equity Index ETF,BMO Asset Management
ZCH,TSX,BMO China Equity Hedged to CAD Index ETF,BMO Asset Management
ZID,TSX,BMO India Equity Hedged to CAD Index ETF,BMO Asset Management
ZEB,TSX,BMO S&P/TSX Equal Weight Banks Index ETF,BMO Asset Management
ZEO,TSX,BMO S&P/TSX Equal Weight Oil & Gas Index ETF,BMO Asset Management
ZUT,TSX,BMO Equal Weight Utilities Index ETF,BMO Asset Management
ZRE,TSX,BMO Equal Weight REITs Index ETF,BMO Asset Management
ZQQ,TSX,BMO NASDAQ 100 Equity Hedged to CAD Index ETF,BMO Asset Management
ZUH,TSX,BMO Equal Weight U.S. Health Care Hedged to CAD Index ETF,BMO Asset Management
ZUB,TSX,BMO Equal Weight U.S. Banks Hedged to CAD Index ETF,BMO Asset Management
ZGI,TSX,BMO Global Infrastructure Index ETF,BMO Asset Management
ZMT,TSX,BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF,BMO Asset Management
ZJG,TSX,BMO Junior Gold Index ETF,BMO Asset Management
ZJO,TSX,BMO Junior Oil Index ETF,BMO Asset Management
ZJN,TSX,BMO Junior Gas Index ETF,BMO Asset Management
ZAG,TSX,BMO Aggregate Bond Index ETF,BMO Asset Management
ZFS,TSX,BMO Short Federal Bond Index ETF,BMO Asset Management
ZFM,TSX,BMO Mid Federal Bond Index ETF,BMO Asset Management
ZFL,TSX,BMO Long Federal Bond Index ETF,BMO Asset Management
ZRR,TSX,BMO Real Return Bond Index ETF,BMO Asset Management
ZPS,TSX,BMO Short Provincial Bond Index ETF,BMO Asset Management
ZCS,TSX,BMO Short Corporate Bond Index ETF,BMO Asset Management
ZCM,TSX,BMO Mid Corporate Bond Index ETF,BMO Asset Management
ZLC,TSX,BMO Long Corporate Bond Index ETF,BMO Asset Management
ZHY,TSX,BMO High Yield US Corporate Bond Hedged to CAD Index ETF,BMO Asset Management
ZEF,TSX,BMO Emerging Markets Bond Hedged to CAD Index ETF,BMO Asset Management
ZDV,TSX,BMO Canadian Dividend ETF,BMO Asset Management
ZPR,TSX,BMO S&P/TSX Laddered Preferred Share Index ETF,BMO Asset Management
ZWC,TSX,BMO Canada High Dividend Covered Call,BMO Asset Management
ZWE,TSX,BMO Europe High Dividend Covered Call Hedged to CAD ETF,BMO Asset Management
ZGD,TSX,BMO S&P/TSX Equal Weight Global Gold Index ETF,BMO Asset Management
ZSP,TSX,BMO S&P 500 Index ETF,BMO Asset Management
ZDY,TSX,BMO US Dividend ETF,BMO Asset Management
BANK,TSX,Evolve Canadian Banks and Lifecos Enhanced Yield Index Fund,Evolve ETFs
UTES,TSX,Evolve Canadian Utilities Enhanced Yield Index Fund,Evolve ETFs
OILY,TSX,Evolve Canadian Energy Enhanced Yield Index Fund,Evolve ETFs
BIGY,TSX,Evolve US Equity UltraYield ETF,Evolve ETFs
CANY,TSX,Evolve Canadian Equity UltraYield ETF,Evolve ETFs
SIXY,TSX,Evolve Big Six Canadian Banks UltraYield Index ETF,Evolve ETFs
INTY,TSX,Evolve International Equity UltraYield ETF,Evolve ETFs
EASY,TSX,Evolve All-in-One UltraYield ETF,Evolve ETFs
ETSX,TSX,Evolve S&P/TSX 60 Enhanced Yield Fund,Evolve ETFs
ESPX,TSX,Evolve S&P 500 Enhanced Yield Fund,Evolve ETFs
QQQY,TSX,Evolve NASDAQ Technology Enhanced Yield Index Fund,Evolve ETFs
LIFE,TSX,Evolve Global Healthcare Enhanced Yield Fund,Evolve ETFs
CALL,TSX,Evolve US Banks Enhanced Yield Fund,Evolve ETFs
EBNK,TSX,Evolve European Banks Enhanced Yield ETF,Evolve ETFs
BASE,TSX,Evolve Global Materials & Mining Enhanced Yield Index ETF,Evolve ETFs
LEAD,TSX,Evolve Future Leadership Fund,Evolve ETFs
BOND,TSX,Evolve Enhanced Yield Bond Fund,Evolve ETFs
AGG,TSX,Evolve Canadian Aggregate Bond Enhanced Yield Fund,Evolve ETFs
MIDB,TSX,Evolve Enhanced Yield Mid Term Bond Fund,Evolve ETFs
HISU.U,TSX,US High Interest Savings Account Fund,Evolve ETFs
MCAD,TSX,Premium Cash Management Fund,Evolve ETFs
MUSD.U,TSX,US Premium Cash Management Fund,Evolve ETFs
QQQT,TSX,Evolve NASDAQ Technology Index Fund,Evolve ETFs
TECH,TSX,Evolve FANGMA Index ETF,Evolve ETFs
CYBR,TSX,Evolve Cyber Security Index Fund,Evolve ETFs
HERO,TSX,Evolve E-Gaming Index ETF,Evolve ETFs
ARTI,TSX,Evolve Artificial Intelligence Fund,Evolve ETFs
EDGE,TSX,Evolve Innovation Index Fund,Evolve ETFs
CARS,TSX,Evolve Automobile Innovation Index Fund,Evolve ETFs
DATA,TSX,Evolve Cloud Computing Index Fund,Evolve ETFs
EARN,TSX,Evolve Active Global Fixed Income Fund,Evolve ETFs
DIVS,TSX,Evolve Active Canadian Preferred Share Fund,Evolve ETFs
EBIT,TSX,Evolve Bitcoin ETF,Evolve ETFs
ETHR,TSX,Evolve Ether ETF,Evolve ETFs
XRP,TSX,Evolve XRP ETF,Evolve ETFs
SOLA,TSX,Evolve Solana ETF,Evolve ETFs
ETC,TSX,Evolve Cryptocurrencies ETF,Evolve ETFs
LBIT,TSX,Evolve Levered Bitcoin ETF,Evolve ETFs
LETH,TSX,Evolve Levered Ether ETF,Evolve ETFs
HFG,TSX,Hamilton Global Financial ETF,Hamilton ETFs (Hamilton Capital Partners Inc.)
HUM,TSX,Hamilton U.S. Mid/Small-Cap Financials ETF,Hamilton ETFs (Hamilton Capital Partners Inc.)
