Ticker,HoldingName,WeightPct
,CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST 4.628% 08/08/2035,0.14
,SUMISHO AIR LEASE CORP 5.4% 06/01/2028,0.14
,QUEBEC PROVINCE CDA 1.9% 09/01/2030,0.14
,HYDRO-QUEBEC 4% 02/15/2065,0.14
,BMW CDA INC 3.35% 04/01/2027,0.14
,CGI INC 3.987% 09/07/2027,0.14
,FINNING INTERNATIONAL INC 4.445% 05/16/2028,0.14
,NOVERCO INC 4.568% 01/28/2035,0.14
,BRITISH COLUMBIA PROVINCE CDA 4.7% 06/18/2037,0.14
,GIBSON ENERGY INC 5.75% 07/12/2033,0.14
,BROOKFIELD RENEWABLE PARTNERS ULC 3.38% 01/15/2030,0.13
,NEW BRUNSWICK PROVINCE CANADA 3.95% 06/03/2035,0.13
,HYDRO-QUEBEC 6.5% 02/15/2035,0.13
,GLENCORE FDG LLC 4% 07/28/2031,0.13
,BROOKFIELD INFRASTRUCTURE FINANCE ULC 5.71% 07/27/2030,0.13
,RELIANCE LP 5.25% 05/15/2031,0.13
,CANADIAN PAC RY CO 2.54% 02/28/2028,0.13
,TRANSCANADA TRUST 4.65%/VAR 05/18/2077,0.13
,ALTAGAS LTD 2.166% 03/16/2027,0.13
,SOUTH BOW CANADIAN INFRASTRUCTURE HOLDINGS LTD 4.323% 02/01/2030,0.13
,BNP PARIBAS 4.487%/VAR 09/03/2035,0.13
,NATIONAL BANK OF CANADA 6.067%/VAR 08/16/2086,0.13
,BANK OF NOVA SCOTIA 4.95%/VAR 08/01/2034,0.13
,CANADIAN NATL RESOURCES LTD 3.3% 12/08/2028,0.13
,FORTIS INC 4.171% 09/09/2031,0.13
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 4.7% 03/14/2036,0.13
,ROYAL BANK OF CANADA 5.235% 11/02/2026,0.13
,ROYAL BANK OF CANADA 7.408%/VAR PERP,0.13
,MOLSON COORS INTL LP 4.3% 07/08/2033,0.13
,VIDEOTRON LTD 4.65% 07/15/2029,0.13
,BPCE SA 4.68%/VAR 04/15/2036,0.13
,CNH INDUSTRIAL CAPITAL CANADA LTD 4.8% 03/25/2027,0.13
,CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST 6.003% 06/24/2032,0.13
,BANK OF NOVA SCOTIA 3.734%/VAR 06/27/2031,0.13
,TORONTO DOMINION BANK 3.605%/VAR 09/10/2031,0.12
,SAPUTO INC 5.492% 11/20/2030,0.12
,ENBRIDGE INC 5.36% 05/26/2033,0.12
,FORTIS INC 5.1%/VAR 12/04/2055,0.12
,VIDEOTRON LTD 3.125% 01/15/2031,0.12
,ONTARIO PROVINCE CDA 6.2% 06/02/2031,0.12
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 2.9% 09/10/2029,0.12
