Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SCHW","CHARLES SCHWAB","Financials","Equity","1,084,970.32","0.32","1,084,970.32","7,414.00","146.34","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1,073,970.19","0.31","1,073,970.19","1,305.00","822.96","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"NEE","NEXTERA ENERGY","Utilities","Equity","1,070,659.64","0.31","1,070,659.64","9,418.00","113.68","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"UNP","UNION PACIFIC","Industrials","Equity","1,062,003.67","0.31","1,062,003.67","2,688.00","395.09","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","1,053,227.37","0.31","1,053,227.37","2,420.00","435.21","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"WELL","WELLTOWER","Real Estate","Equity","1,041,795.39","0.30","1,041,795.39","3,207.00","324.85","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","1,028,672.36","0.30","1,028,672.36","5,522.00","186.28","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ETN","EATON PLC","Industrials","Equity","1,003,355.03","0.29","1,003,355.03","1,752.00","572.69","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PFE","PFIZER","Health Care","Equity","996,543.61","0.29","996,543.61","25,778.00","38.66","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BA","BOEING","Industrials","Equity","982,554.42","0.29","982,554.42","3,566.00","275.53","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BLK","BLACKROCK","Financials","Equity","962,601.11","0.28","962,601.11","653.00","1,474.11","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","922,468.03","0.27","922,468.03","1,556.00","592.84","United States","NASDAQ","CAD","0.71","USD"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","911,231.54","0.27","911,231.54","9,193.00","99.12","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"NOW","SERVICENOW","Information Technology","Equity","899,795.77","0.26","899,795.77","4,646.00","193.67","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TJX","TJX","Consumer Discretionary","Equity","886,234.78","0.26","886,234.78","5,007.00","177.00","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","857,764.72","0.25","857,764.72","1,599.00","536.43","United States","NASDAQ","CAD","0.71","USD"
"DHR","DANAHER","Health Care","Equity","849,732.32","0.25","849,732.32","2,859.00","297.21","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"NEM","NEWMONT","Materials","Equity","840,140.12","0.25","840,140.12","4,829.00","173.98","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","837,127.27","0.24","837,127.27","3,510.00","238.50","United States","NASDAQ","CAD","0.71","USD"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","831,227.96","0.24","831,227.96","1,151.00","722.17","United States","NASDAQ","CAD","0.71","USD"
"PLD","PROLOGIS REIT","Real Estate","Equity","810,730.05","0.24","810,730.05","4,288.00","189.07","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","809,213.97","0.24","809,213.97","9,207.00","87.89","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PGR","PROGRESSIVE","Financials","Equity","795,611.84","0.23","795,611.84","2,630.00","302.51","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","794,058.92","0.23","794,058.92","2,810.00","282.58","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CB","CHUBB","Financials","Equity","783,767.23","0.23","783,767.23","1,639.00","478.20","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MPC","MARATHON PETROLEUM","Energy","Equity","776,669.45","0.23","776,669.45","1,316.00","590.17","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SPGI","S&P GLOBAL","Financials","Equity","776,596.41","0.23","776,596.41","1,374.00","565.20","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"VLO","VALERO ENERGY CORP","Energy","Equity","771,429.06","0.23","771,429.06","1,337.00","576.98","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","749,581.70","0.22","749,581.70","5,777.00","129.75","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","740,795.39","0.22","740,795.39","7,599.00","97.49","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PH","PARKER-HANNIFIN","Industrials","Equity","738,963.57","0.22","738,963.57","571.00","1,294.15","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","737,499.18","0.22","737,499.18","2,771.00","266.15","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GLW","CORNING","Information Technology","Equity","736,338.31","0.21","736,338.31","3,562.00","206.72","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CVS","CVS HEALTH","Health Care","Equity","732,916.87","0.21","732,916.87","5,805.00","126.26","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","696,318.60","0.20","696,318.60","5,150.00","135.21","United States","NASDAQ","CAD","0.71","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","692,998.63","0.20","692,998.63","1,820.00","380.77","United States","NASDAQ","CAD","0.71","USD"
"PSX","PHILLIPS 66","Energy","Equity","693,027.54","0.20","693,027.54","1,807.00","383.52","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","686,370.82","0.20","686,370.82","912.00","752.59","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","685,799.70","0.20","685,799.70","2,525.00","271.60","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"FTNT","FORTINET","Information Technology","Equity","679,240.55","0.20","679,240.55","2,814.00","241.38","United States","NASDAQ","CAD","0.71","USD"
"MCK","MCKESSON CORP","Health Care","Equity","664,313.71","0.19","664,313.71","540.00","1,230.20","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","661,112.18","0.19","661,112.18","3,089.00","214.02","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ADBE","ADOBE INC","Information Technology","Equity","648,836.70","0.19","648,836.70","1,836.00","353.39","United States","NASDAQ","CAD","0.71","USD"
"EQIX","EQUINIX REIT","Real Estate","Equity","645,718.94","0.19","645,718.94","450.00","1,434.92","United States","NASDAQ","CAD","0.71","USD"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","640,644.99","0.19","640,644.99","6,465.00","99.09","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SO","SOUTHERN","Utilities","Equity","621,053.30","0.18","621,053.30","5,118.00","121.35","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CME","CME GROUP CLASS A","Financials","Equity","619,305.37","0.18","619,305.37","1,633.00","379.24","United States","NASDAQ","CAD","0.71","USD"
"SYK","STRYKER","Health Care","Equity","613,172.99","0.18","613,172.99","1,565.00","391.80","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"USB","US BANCORP","Financials","Equity","593,925.53","0.17","593,925.53","7,048.00","84.27","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","591,498.41","0.17","591,498.41","999.00","592.09","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
