Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","9,523,601.26","0.20","9,523,601.26","212,336.00","44.85","India","National Stock Exchange Of India","CAD","68.59","INR"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","9,481,402.04","0.20","9,481,402.04","109,674.00","86.45","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","9,467,929.68","0.20","9,467,929.68","213,913.00","44.26","Poland","Warsaw Stock Exchange/Equities/Main Market","CAD","2.71","PLN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","9,327,470.99","0.19","9,327,470.99","584,608.00","15.96","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","9,292,327.79","0.19","9,292,327.79","1,820,000.00","5.11","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","9,205,592.04","0.19","9,205,592.04","164,600.00","55.93","India","National Stock Exchange Of India","CAD","68.59","INR"
"AXISBANK","AXIS BANK","Financials","Equity","9,171,811.88","0.19","9,171,811.88","507,356.00","18.08","India","National Stock Exchange Of India","CAD","68.59","INR"
"086790","HANA FINANCIAL GROUP","Financials","Equity","9,091,035.19","0.19","9,091,035.19","65,313.00","139.19","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","8,997,038.10","0.19","8,997,038.10","608,013.00","14.80","India","National Stock Exchange Of India","CAD","68.59","INR"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","8,958,384.38","0.19","8,958,384.38","8,067.00","1,110.50","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","8,837,067.05","0.18","8,837,067.05","1,464,000.00","6.04","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2327","YAGEO","Information Technology","Equity","8,827,993.30","0.18","8,827,993.30","380,408.00","23.21","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"857","PETROCHINA H","Energy","Equity","8,790,616.82","0.18","8,790,616.82","5,158,000.00","1.70","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"BAP","CREDICORP LTD","Financials","Equity","8,762,647.60","0.18","8,762,647.60","16,317.00","537.02","Peru","New York Stock Exchange Inc.","CAD","0.71","USD"
"SBK","STANDARD BANK GROUP","Financials","Equity","8,626,994.08","0.18","8,626,994.08","322,096.00","26.78","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"3968","CHINA MERCHANTS BANK H","Financials","Equity","8,486,829.18","0.18","8,486,829.18","928,000.00","9.15","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","8,262,626.65","0.17","8,262,626.65","1,082,716.00","7.63","United Arab Emirates","Abu Dhabi Securities Exchange","CAD","2.63","AED"
"CPI","CAPITEC SHS","Financials","Equity","8,222,155.88","0.17","8,222,155.88","21,308.00","385.87","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","8,142,145.34","0.17","8,142,145.34","1,340,921.00","6.07","India","National Stock Exchange Of India","CAD","68.59","INR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","8,129,308.59","0.17","8,129,308.59","2,098,945.00","3.87","Kuwait","Kuwait Stock Exchange","CAD","0.22","KWD"
"9961","TRIP.COM GROUP","Consumer Discretionary","Equity","8,110,204.96","0.17","8,110,204.96","143,604.00","56.48","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","8,085,719.51","0.17","8,085,719.51","14,819.00","545.63","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"2885","YUANTA FINANCIAL HOLDING","Financials","Equity","8,080,813.00","0.17","8,080,813.00","2,669,619.00","3.03","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"PKN","ORLEN","Energy","Equity","8,067,887.33","0.17","8,067,887.33","142,177.00","56.75","Poland","Warsaw Stock Exchange/Equities/Main Market","CAD","2.71","PLN"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","8,043,024.07","0.17","8,043,024.07","63,850.00","125.97","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"9888","BAIDU","Communication","Equity","7,965,052.95","0.17","7,965,052.95","511,500.00","15.57","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"7010","SAUDI TELECOM","Communication","Equity","7,962,037.24","0.17","7,962,037.24","490,020.00","16.25","Saudi Arabia","Saudi Stock Exchange","CAD","2.69","SAR"
"2360","CHROMA ATE INC","Information Technology","Equity","7,957,597.95","0.17","7,957,597.95","87,000.00","91.47","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2269","WUXI BIOLOGICS CAYMAN","Health Care","Equity","7,698,836.76","0.16","7,698,836.76","862,000.00","8.93","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
