Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","85,944.32","0.28","85,944.32","1,891.00","45.46","Germany","Xetra","CAD","-","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","84,699.53","0.27","84,699.53","82.00","1,031.65","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"INGA","ING GROEP","Financials","Equity","83,048.20","0.27","83,048.20","1,600.00","51.91","Netherlands","Euronext Amsterdam","CAD","-","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","81,456.59","0.26","81,456.59","133.00","610.62","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","81,279.24","0.26","81,279.24","594.00","136.84","United Kingdom","London Stock Exchange","CAD","-","GBP"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","81,124.74","0.26","81,124.74","811.00","100.00","Canada","-","CAD","1.00","CAD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","80,868.90","0.26","80,868.90","47,017.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","CAD","-","HKD"
"2308","DELTA ELECTRONICS","Information Technology","Equity","80,274.09","0.26","80,274.09","1,086.00","73.92","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","79,928.28","0.26","79,928.28","2,253.00","35.48","United Kingdom","London Stock Exchange","CAD","-","GBP"
"1299","AIA GROUP","Financials","Equity","79,449.65","0.26","79,449.65","5,761.00","13.79","Hong Kong","Hong Kong Exchanges And Clearing Ltd","CAD","-","HKD"
"8058","MITSUBISHI","Industrials","Equity","76,215.69","0.25","76,215.69","1,705.00","44.71","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"2317","HON HAI PRECISION INDUSTRY","Information Technology","Equity","75,143.90","0.24","75,143.90","6,837.00","10.99","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"8766","TOKIO MARINE HOLDINGS","Financials","Equity","74,228.96","0.24","74,228.96","996.00","74.52","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"SAN","SANOFI SA","Health Care","Equity","73,558.50","0.24","73,558.50","608.00","120.90","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"6861","KEYENCE","Information Technology","Equity","71,743.46","0.23","71,743.46","105.00","683.41","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","67,878.67","0.22","67,878.67","32,323.00","2.10","United Kingdom","London Stock Exchange","CAD","-","GBP"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","67,723.55","0.22","67,723.55","1,736.00","39.02","Australia","Asx - All Markets","CAD","-","AUD"
"BARC","BARCLAYS PLC","Financials","Equity","67,259.67","0.22","67,259.67","7,523.00","8.94","United Kingdom","London Stock Exchange","CAD","-","GBP"
"WBC","WESTPAC BANKING CORPORATION","Financials","Equity","65,989.31","0.21","65,989.31","1,904.00","34.65","Australia","Asx - All Markets","CAD","-","AUD"
"8001","ITOCHU","Industrials","Equity","65,741.18","0.21","65,741.18","3,089.00","21.28","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"HDFCBANK","HDFC BANK","Financials","Equity","65,193.57","0.21","65,193.57","6,275.00","10.39","India","National Stock Exchange Of India","CAD","-","INR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","63,550.97","0.21","63,550.97","727.00","87.39","Germany","Xetra","CAD","-","EUR"
"CS","AXA SA","Financials","Equity","63,215.61","0.20","63,215.61","873.00","72.39","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
